open,high,low,volume,close
6737.755668,7338.53985,6552.3623072,152.953611,6900.590179
6883.22628,7151.19445,6679.198,75.654781,6851.763818
6872.8829898,7072.749034,6765.3812,76.462795,6944.80452
6985.24824,7035.166035,6671.6138784,41.658656,6855.0616
6851.224,7417.9108972,6803.47512,150.930987,7358.214094
7362.24635,7561.6770438,7095.872,113.194772,7247.023874
7246.9573326,7467.9385,7171.75844,72.688825,7380.8754735
7380.7286226,7480.1863272,7155.126,86.455989,7393.9787064
7394.3847756,7422.6119319,6814.2672,139.148452,6985.8780494
6988.2618638,7070.7783498,6879.789,45.995013,6994.304
7005.62296,7337.5642164,6903.5188119,48.626791,7045.66842
7054.9521,7071.00513,6632.5105665,114.8988,6918.1845349
6918.3101,7056.0936,6806.982351,52.839861,6930.9569075
